,ID,value,date,zip_code,type,commercial,lease,name_number,year,month,postcode_area
30,{8F1B26BD-6598-53DB-E053-6C04A8C03649},265000,2019-06-21 00:00,SK9 3AQ,T,N,L,32,2019,6,SK9
31,{8F1B26BD-659E-53DB-E053-6C04A8C03649},273000,2019-07-10 00:00,SK9 3AQ,T,N,L,30,2019,7,SK9
32,{8A78B2B0-50AA-5CB0-E053-6B04A8C0F504},800000,2019-02-28 00:00,SK9 3HF,O,N,F,15,2019,2,SK9
33,{8A78B2B0-50AC-5CB0-E053-6B04A8C0F504},895000,2019-05-14 00:00,SK9 4AW,D,N,F,12,2019,5,SK9
34,{8A78B2B0-50C9-5CB0-E053-6B04A8C0F504},475000,2019-04-26 00:00,SK9 6JY,F,N,L,"ROTHERWOOD, 8",2019,4,SK9
35,{8F1B26BD-675E-53DB-E053-6C04A8C03649},185000,2019-07-05 00:00,SK5 6UA,T,N,F,40,2019,7,SK5
36,{8F1B26BD-675F-53DB-E053-6C04A8C03649},138000,2019-07-09 00:00,SK12 2ET,T,N,L,1,2019,7,SK12
37,{8F1B26BD-6760-53DB-E053-6C04A8C03649},124000,2019-05-31 00:00,SK12 2ET,T,N,L,5,2019,5,SK12
38,{8F1B26BD-677E-53DB-E053-6C04A8C03649},810000,2019-02-28 00:00,SK9 2SY,D,N,F,4,2019,2,SK9
39,{8F1B26BD-6783-53DB-E053-6C04A8C03649},1050000,2019-03-29 00:00,SK9 2TL,D,N,F,1,2019,3,SK9
40,{8A78B2B0-5AA6-5CB0-E053-6B04A8C0F504},102500,2019-04-18 00:00,SK15 1DD,T,N,L,25,2019,4,SK15
41,{8A78B2B0-5AA8-5CB0-E053-6B04A8C0F504},200000,2019-04-26 00:00,SK8 5QJ,S,N,F,18,2019,4,SK8
42,{8A78B2B0-5AAD-5CB0-E053-6B04A8C0F504},395000,2019-04-24 00:00,WA15 7PF,S,N,F,2A,2019,4,WA15
43,{8CAC1318-5942-0253-E053-6B04A8C08E51},370500,2019-05-01 00:00,M20 6HP,S,N,F,21,2019,5,M20
44,{8CAC1318-5949-0253-E053-6B04A8C08E51},325000,2019-05-17 00:00,M21 7SU,S,N,F,12,2019,5,M21
45,{8CAC1318-594D-0253-E053-6B04A8C08E51},465000,2019-05-31 00:00,M20 1JD,S,N,F,23,2019,5,M20
46,{8F1B26BD-65AF-53DB-E053-6C04A8C03649},540000,2019-05-31 00:00,SK9 1DA,S,N,F,25,2019,5,SK9
47,{8A78B2B0-50D3-5CB0-E053-6B04A8C0F504},250000,2019-05-07 00:00,SK9 7DU,O,N,L,4,2019,5,SK9
48,{8A78B2B0-50D5-5CB0-E053-6B04A8C0F504},289000,2019-04-25 00:00,WA16 7GE,O,N,L,4,2019,4,WA16
49,{8A78B2B0-50EB-5CB0-E053-6B04A8C0F504},160000,2019-03-29 00:00,SK12 1RD,F,N,L,21A,2019,3,SK12
50,{8A78B2B0-50EE-5CB0-E053-6B04A8C0F504},700,2019-05-01 00:00,WA13 0DS,O,N,F,5,2019,5,WA13
51,{8A78B2B0-50F0-5CB0-E053-6B04A8C0F504},185000,2019-04-10 00:00,SK2 6RH,S,N,L,9,2019,4,SK2
52,{8F1B26BD-6795-53DB-E053-6C04A8C03649},300000,2019-04-24 00:00,SK9 2SX,T,Y,L,2,2019,4,SK9
53,{8F1B26BD-67A2-53DB-E053-6C04A8C03649},700000,2019-05-21 00:00,SK12 1BS,D,N,F,THE GRANGE,2019,5,SK12
54,{8A78B2B0-5AB8-5CB0-E053-6B04A8C0F504},205000,2019-05-03 00:00,SK7 6JZ,S,N,F,36,2019,5,SK7
55,{8A78B2B0-5AB9-5CB0-E053-6B04A8C0F504},3025000,2019-05-02 00:00,WA15 0NH,D,N,F,5,2019,5,WA15
56,{8A78B2B0-5ABE-5CB0-E053-6B04A8C0F504},140000,2019-03-29 00:00,SK6 6AH,T,N,F,116,2019,3,SK6
57,{8A78B2B0-5AC8-5CB0-E053-6B04A8C0F504},90000,2019-04-26 00:00,SK4 3QF,F,N,L,3F,2019,4,SK4
58,{8A78B2B0-5AD1-5CB0-E053-6B04A8C0F504},700000,2019-04-03 00:00,M20 4AF,S,N,F,433,2019,4,M20
59,{8CAC1318-595C-0253-E053-6B04A8C08E51},332000,2019-06-04 00:00,M21 9EB,T,N,F,53,2019,6,M21
60,{8CAC1318-5B8A-0253-E053-6B04A8C08E51},570000,2019-06-13 00:00,M21 8DB,D,N,F,41,2019,6,M21
61,{8F1B26BD-65DE-53DB-E053-6C04A8C03649},845000,2019-07-08 00:00,SK9 6LZ,D,N,F,111,2019,7,SK9
62,{8F1B26BD-65E4-53DB-E053-6C04A8C03649},175000,2019-06-21 00:00,SK9 2SP,T,N,F,10,2019,6,SK9
63,{8F1B26BD-65E6-53DB-E053-6C04A8C03649},166000,2019-07-05 00:00,SK5 7JA,T,N,L,14,2019,7,SK5
64,{8F1B26BD-65E9-53DB-E053-6C04A8C03649},246500,2019-06-26 00:00,WA13 9HH,T,N,F,31,2019,6,WA13
65,{8F1B26BD-65EC-53DB-E053-6C04A8C03649},175000,2019-06-21 00:00,SK9 2SP,T,N,F,18,2019,6,SK9
66,{8F1B26BD-67AE-53DB-E053-6C04A8C03649},749950,2019-04-18 00:00,SK9 2EH,D,Y,F,20,2019,4,SK9
67,{8F1B26BD-67B7-53DB-E053-6C04A8C03649},294995,2019-06-14 00:00,SK9 3JX,T,Y,F,198,2019,6,SK9
68,{8F1B26BD-67C5-53DB-E053-6C04A8C03649},220000,2019-04-24 00:00,SK12 1BF,F,Y,L,BLOCK A WOODVIEW,2019,4,SK12
69,{8CAC1318-5BA8-0253-E053-6B04A8C08E51},435000,2019-04-12 00:00,M21 0XF,S,N,F,9,2019,4,M21
70,{8F1B26BD-65F3-53DB-E053-6C04A8C03649},100000,2019-07-24 00:00,SK9 2NX,S,N,F,40,2019,7,SK9
71,{8F1B26BD-6607-53DB-E053-6C04A8C03649},308000,2019-07-18 00:00,SK9 4EU,D,N,F,37,2019,7,SK9
72,{8F1B26BD-660E-53DB-E053-6C04A8C03649},301000,2019-06-07 00:00,WA13 0ER,T,N,F,7,2019,6,WA13
73,{8F1B26BD-6610-53DB-E053-6C04A8C03649},260000,2019-07-12 00:00,SK7 6NS,D,N,F,28,2019,7,SK7
74,{8F1B26BD-67D2-53DB-E053-6C04A8C03649},195000,2019-05-15 00:00,SK12 1BF,F,Y,L,BLOCK B WOODVIEW,2019,5,SK12
75,{8F1B26BD-661B-53DB-E053-6C04A8C03649},480000,2019-07-10 00:00,SK9 5PY,S,N,L,3A,2019,7,SK9
76,{8F1B26BD-661E-53DB-E053-6C04A8C03649},470000,2019-07-05 00:00,SK9 5HY,T,N,L,14,2019,7,SK9
77,{8F1B26BD-661F-53DB-E053-6C04A8C03649},278000,2019-07-05 00:00,WA13 0DL,T,N,F,36,2019,7,WA13
78,{8F1B26BD-6621-53DB-E053-6C04A8C03649},880000,2019-06-07 00:00,WA16 8AG,D,N,F,MORVEN,2019,6,WA16
79,{8F1B26BD-6631-53DB-E053-6C04A8C03649},635000,2019-07-05 00:00,SK12 1EN,D,N,F,17,2019,7,SK12
80,{8F1B26BD-6634-53DB-E053-6C04A8C03649},117000,2019-06-04 00:00,SK9 4DX,F,N,L,53,2019,6,SK9
81,{8F1B26BD-67ED-53DB-E053-6C04A8C03649},1200000,2019-06-18 00:00,WA13 0QP,D,N,F,2,2019,6,WA13
82,{8F1B26BD-67F8-53DB-E053-6C04A8C03649},799995,2019-06-28 00:00,SK9 6GJ,D,Y,F,5,2019,6,SK9
83,{8F1B26BD-663E-53DB-E053-6C04A8C03649},357000,2019-07-19 00:00,WA13 9UP,T,N,L,94,2019,7,WA13
84,{8F1B26BD-6644-53DB-E053-6C04A8C03649},93000,2019-07-05 00:00,SK9 3SF,F,N,L,STANLEY PARK GRANGE,2019,7,SK9
85,{8F1B26BD-6650-53DB-E053-6C04A8C03649},277500,2019-07-19 00:00,SK9 1LL,F,N,L,BANK PLACE APARTMENTS,2019,7,SK9
86,{8F1B26BD-6653-53DB-E053-6C04A8C03649},457500,2019-05-29 00:00,SK12 2DB,D,N,L,12,2019,5,SK12
87,{8F1B26BD-6825-53DB-E053-6C04A8C03649},440000,2019-05-17 00:00,SK9 3AU,S,N,L,39,2019,5,SK9
88,{8F1B26BD-682A-53DB-E053-6C04A8C03649},136000,2019-04-26 00:00,SK12 1BF,F,Y,L,BLOCK A WOODVIEW,2019,4,SK12
89,{8F1B26BD-665B-53DB-E053-6C04A8C03649},287000,2019-05-07 00:00,SK3 8SQ,S,N,F,7,2019,5,SK3
90,{8F1B26BD-665D-53DB-E053-6C04A8C03649},204000,2019-06-21 00:00,SK2 7JF,S,N,F,11,2019,6,SK2
91,{8F1B26BD-665E-53DB-E053-6C04A8C03649},187500,2019-06-28 00:00,WA13 0RX,F,N,L,19,2019,6,WA13
92,{8F1B26BD-6661-53DB-E053-6C04A8C03649},441197,2019-06-07 00:00,WA16 9QX,T,N,F,FREE GREEN COTTAGES,2019,6,WA16
93,{8F1B26BD-6665-53DB-E053-6C04A8C03649},620000,2019-07-17 00:00,WA16 7AE,D,N,F,WILMATON HOUSE,2019,7,WA16
94,{8F1B26BD-682F-53DB-E053-6C04A8C03649},530000,2019-06-13 00:00,SK9 1QP,D,N,L,27,2019,6,SK9
95,{8F1B26BD-6833-53DB-E053-6C04A8C03649},562000,2019-05-30 00:00,SK9 3AP,D,N,L,23,2019,5,SK9
96,{8F1B26BD-6678-53DB-E053-6C04A8C03649},332500,2019-07-12 00:00,WA16 7GD,T,N,L,31,2019,7,WA16
97,{8F1B26BD-667C-53DB-E053-6C04A8C03649},315000,2019-07-10 00:00,SK9 7PQ,T,N,F,29,2019,7,SK9
98,{8F1B26BD-6686-53DB-E053-6C04A8C03649},352000,2019-07-19 00:00,SK12 2BD,S,N,F,14,2019,7,SK12
99,{8F1B26BD-6688-53DB-E053-6C04A8C03649},495950,2019-06-21 00:00,SK12 1TF,D,N,F,WHITE COTTAGE,2019,6,SK12
100,{8F1B26BD-6871-53DB-E053-6C04A8C03649},770000,2019-06-14 00:00,SK9 5DY,D,N,F,17,2019,6,SK9
101,{8F1B26BD-66AB-53DB-E053-6C04A8C03649},400000,2019-06-20 00:00,SK12 2BL,D,N,L,6,2019,6,SK12
102,{8F1B26BD-66BC-53DB-E053-6C04A8C03649},526500,2019-06-28 00:00,SK9 5NU,S,N,L,MITCHELDENE,2019,6,SK9
103,{8F1B26BD-66C6-53DB-E053-6C04A8C03649},275000,2019-07-05 00:00,SK9 2PL,S,N,F,29,2019,7,SK9
104,{8F1B26BD-66D1-53DB-E053-6C04A8C03649},550000,2019-06-21 00:00,WA16 6AP,D,N,F,86,2019,6,WA16
105,{8F1B26BD-66DA-53DB-E053-6C04A8C03649},115000,2019-02-15 00:00,WA13 9BJ,F,N,L,3A,2019,2,WA13
106,{8F1B26BD-66E2-53DB-E053-6C04A8C03649},400000,2019-07-12 00:00,SK12 2LX,D,N,F,41,2019,7,SK12
107,{8F1B26BD-66EB-53DB-E053-6C04A8C03649},430000,2019-07-19 00:00,SK9 5NE,S,N,F,14,2019,7,SK9
108,{8F1B26BD-66EC-53DB-E053-6C04A8C03649},212000,2019-07-04 00:00,SK5 7QH,S,N,F,24,2019,7,SK5
109,{8F1B26BD-68BF-53DB-E053-6C04A8C03649},160000,2019-07-05 00:00,SK12 1BF,F,Y,L,BLOCK A WOODVIEW,2019,7,SK12
110,{8F1B26BD-68C4-53DB-E053-6C04A8C03649},435000,2019-07-09 00:00,SK9 7SH,D,N,F,63,2019,7,SK9
111,{8F1B26BD-68D3-53DB-E053-6C04A8C03649},378000,2019-07-01 00:00,SK3 8UD,S,N,F,3,2019,7,SK3
112,{8CAC1318-9787-0253-E053-6B04A8C08E51},300000,2019-05-24 00:00,SK8 3DW,S,N,F,2,2019,5,SK8
113,{8CAC1318-978E-0253-E053-6B04A8C08E51},232500,2019-06-10 00:00,SK7 6AR,S,N,F,10,2019,6,SK7
114,{919FEC06-1AF4-9A90-E053-6C04A8C0A300},24200000,2019-03-04 00:00,WA14 2SU,O,N,F,SAINSBURYS SUPERMARKETS LTD,2019,3,WA14
115,{919FEC06-1AFD-9A90-E053-6C04A8C0A300},110000,2019-07-29 00:00,SK5 7AR,O,N,F,19,2019,7,SK5
116,{919FEC06-1AFF-9A90-E053-6C04A8C0A300},700000,2019-02-15 00:00,SK2 5HB,O,N,F,BONGS HOUSE,2019,2,SK2
117,{919FEC06-1B04-9A90-E053-6C04A8C0A300},185000,2019-08-02 00:00,SK6 4BT,T,N,F,21A,2019,8,SK6
118,{919FEC06-1B05-9A90-E053-6C04A8C0A300},250000,2019-07-11 00:00,M21 9PH,S,N,F,46,2019,7,M21
119,{919FEC06-1B07-9A90-E053-6C04A8C0A300},285000,2019-07-09 00:00,SK15 2PT,O,N,F,83,2019,7,SK15
120,{919FEC06-1B0C-9A90-E053-6C04A8C0A300},36500,2019-08-21 00:00,SK15 3ET,O,N,F,396,2019,8,SK15
121,{919FEC06-23B2-9A90-E053-6C04A8C0A300},400000,2019-07-22 00:00,M33 4LW,O,N,F,123,2019,7,M33
122,{919FEC06-23B8-9A90-E053-6C04A8C0A300},585000,2019-07-05 00:00,SK8 1AN,O,N,F,10,2019,7,SK8
123,{919FEC06-23C6-9A90-E053-6C04A8C0A300},164000,2019-07-29 00:00,SK7 4AA,T,N,F,12,2019,7,SK7
124,{919FEC06-23C8-9A90-E053-6C04A8C0A300},206400,2019-08-02 00:00,SK3 9AB,F,N,F,1C,2019,8,SK3
125,{919FEC06-23CD-9A90-E053-6C04A8C0A300},367500,2019-08-15 00:00,SK8 1BJ,O,N,F,57A,2019,8,SK8
126,{919FEC06-11F1-9A90-E053-6C04A8C0A300},89000,2019-08-06 00:00,SK12 1YQ,F,N,L,2,2019,8,SK12
127,{919FEC06-120C-9A90-E053-6C04A8C0A300},532500,2019-07-15 00:00,SK9 1BR,O,N,F,"LADYFIELD WORKS, 31 - 33",2019,7,SK9
128,{919FEC06-1B1C-9A90-E053-6C04A8C0A300},404926,2019-07-16 00:00,WA14 5DL,O,N,F,NELSON HOUSE,2019,7,WA14
129,{919FEC06-1B2A-9A90-E053-6C04A8C0A300},410000,2019-05-10 00:00,SK1 4JG,O,N,F,179,2019,5,SK1
130,{919FEC06-121A-9A90-E053-6C04A8C0A300},719950,2019-04-30 00:00,SK4 1JB,O,N,F,"MANDALE HOUSE, 30",2019,4,SK4
131,{919FEC06-122C-9A90-E053-6C04A8C0A300},122000,2019-06-03 00:00,SK4 1JQ,T,N,L,35,2019,6,SK4
132,{919FEC06-1B32-9A90-E053-6C04A8C0A300},125000,2019-08-21 00:00,WA14 2QU,O,N,L,10A,2019,8,WA14
133,{919FEC06-1B34-9A90-E053-6C04A8C0A300},277500,2019-08-07 00:00,SK7 4BQ,D,N,L,35,2019,8,SK7
134,{919FEC06-1B35-9A90-E053-6C04A8C0A300},65000,2019-07-03 00:00,SK3 0LS,T,N,F,10,2019,7,SK3
135,{919FEC06-1B41-9A90-E053-6C04A8C0A300},80000,2019-06-26 00:00,SK15 3DW,O,N,F,113,2019,6,SK15
136,{919FEC06-1B4C-9A90-E053-6C04A8C0A300},245000,2019-08-14 00:00,M33 2XP,O,N,F,24,2019,8,M33
137,{919FEC06-1B4E-9A90-E053-6C04A8C0A300},93000,2019-07-22 00:00,SK3 9PF,T,N,F,45,2019,7,SK3
138,{919FEC06-1B4F-9A90-E053-6C04A8C0A300},106500,2019-07-29 00:00,SK1 3JX,O,N,F,2,2019,7,SK1
139,{919FEC06-1B51-9A90-E053-6C04A8C0A300},640000,2019-04-04 00:00,SK8 2JF,O,N,F,NUNU PLC,2019,4,SK8
140,{919FEC06-23D3-9A90-E053-6C04A8C0A300},170000,2019-08-02 00:00,SK1 3SU,O,N,F,78,2019,8,SK1
141,{919FEC06-23DD-9A90-E053-6C04A8C0A300},325000,2019-06-28 00:00,WA15 6HJ,S,N,F,1C,2019,6,WA15
142,{919FEC06-23E4-9A90-E053-6C04A8C0A300},100000,2019-07-18 00:00,M33 7JN,O,N,F,105,2019,7,M33
143,{919FEC06-1B57-9A90-E053-6C04A8C0A300},675,2019-07-29 00:00,SK15 1HW,O,N,F,78,2019,7,SK15
144,{919FEC06-1B60-9A90-E053-6C04A8C0A300},224000,2019-07-10 00:00,SK8 6AQ,D,N,F,14,2019,7,SK8
145,{919FEC06-1B66-9A90-E053-6C04A8C0A300},345000,2019-01-10 00:00,SK8 3QR,T,N,F,9,2019,1,SK8
146,{919FEC06-1B70-9A90-E053-6C04A8C0A300},352500,2019-07-26 00:00,M33 5UF,D,N,F,6,2019,7,M33
147,{919FEC06-1B71-9A90-E053-6C04A8C0A300},575000,2019-07-02 00:00,WA14 1JF,O,N,F,1,2019,7,WA14
148,{919FEC06-1B72-9A90-E053-6C04A8C0A300},85000,2019-08-12 00:00,SK15 1LH,T,N,F,125,2019,8,SK15
149,{919FEC06-23F4-9A90-E053-6C04A8C0A300},724500,2019-07-12 00:00,M33 6GP,O,N,F,2A,2019,7,M33
150,{919FEC06-23FF-9A90-E053-6C04A8C0A300},800,2019-01-30 00:00,SK4 5HW,O,N,L,235,2019,1,SK4
151,{919FEC06-1B77-9A90-E053-6C04A8C0A300},142000,2019-08-15 00:00,SK4 1LX,T,N,L,76,2019,8,SK4
152,{919FEC06-1B8B-9A90-E053-6C04A8C0A300},725000,2019-07-15 00:00,SK1 3AD,O,N,L,VICTORIA HOUSE,2019,7,SK1
153,{919FEC06-1B8D-9A90-E053-6C04A8C0A300},2978000,2019-08-06 00:00,WA14 5GQ,O,N,F,1,2019,8,WA14
154,{919FEC06-1B98-9A90-E053-6C04A8C0A300},1120000,2019-07-12 00:00,M33 7EE,O,N,F,MASONIC HALL,2019,7,M33
155,{919FEC06-1B9C-9A90-E053-6C04A8C0A300},1356941,2019-06-27 00:00,M20 2DR,O,N,F,770,2019,6,M20
156,{919FEC06-1B9E-9A90-E053-6C04A8C0A300},1800000,2019-08-01 00:00,WA15 0ER,D,N,F,77,2019,8,WA15
157,{919FEC06-1BA7-9A90-E053-6C04A8C0A300},153500,2019-07-12 00:00,SK8 2AJ,S,N,F,96,2019,7,SK8
158,{919FEC06-1BA8-9A90-E053-6C04A8C0A300},400000,2019-02-15 00:00,SK8 2AN,O,N,F,PARK LODGE,2019,2,SK8
159,{919FEC06-1BAB-9A90-E053-6C04A8C0A300},300000,2019-08-06 00:00,M20 6WG,T,N,F,10,2019,8,M20
160,{919FEC06-1BB0-9A90-E053-6C04A8C0A300},157000,2019-07-15 00:00,SK15 3RY,S,N,F,MILTON COURT,2019,7,SK15
161,{919FEC06-1BB7-9A90-E053-6C04A8C0A300},155000,2019-07-16 00:00,M20 4SH,F,N,L,85,2019,7,M20
162,{919FEC06-129B-9A90-E053-6C04A8C0A300},86000,2019-07-08 00:00,SK5 8AP,S,N,L,9,2019,7,SK5
163,{919FEC06-1BC2-9A90-E053-6C04A8C0A300},130000,2019-08-12 00:00,M20 1AE,S,N,F,1,2019,8,M20
164,{919FEC06-1BC7-9A90-E053-6C04A8C0A300},120000,2019-07-11 00:00,SK5 6GA,F,N,L,5,2019,7,SK5
165,{8CAC1319-078E-0253-E053-6B04A8C08E51},320000,2019-05-31 00:00,M21 0BP,S,N,F,19,2019,5,M21
166,{93E6821E-43CB-40FD-E053-6B04A8C0C1DF},313000,2019-08-20 00:00,SK8 7AS,S,N,L,34,2019,8,SK8
167,{93E6821E-43CC-40FD-E053-6B04A8C0C1DF},245000,2019-08-23 00:00,SK6 6AH,T,N,F,94,2019,8,SK6
168,{93E6821E-43CD-40FD-E053-6B04A8C0C1DF},159500,2019-08-16 00:00,SK7 4JN,T,N,F,9,2019,8,SK7
169,{93E6821E-43CE-40FD-E053-6B04A8C0C1DF},625000,2019-06-27 00:00,SK7 3DW,S,N,F,273,2019,6,SK7
170,{93E6821E-43D6-40FD-E053-6B04A8C0C1DF},183000,2019-09-06 00:00,SK6 7AN,T,N,F,18,2019,9,SK6
171,{93E6821E-43D7-40FD-E053-6B04A8C0C1DF},382000,2019-08-28 00:00,SK3 8SE,S,N,F,22,2019,8,SK3
172,{93E6821E-43DD-40FD-E053-6B04A8C0C1DF},188000,2019-08-21 00:00,M33 3HJ,T,N,F,47,2019,8,M33
173,{93E6821E-43DE-40FD-E053-6B04A8C0C1DF},175000,2019-08-19 00:00,WA14 4DT,F,N,L,29,2019,8,WA14
174,{93E6821E-43E2-40FD-E053-6B04A8C0C1DF},112000,2019-08-16 00:00,SK15 2QA,T,N,F,12,2019,8,SK15
175,{93E6821E-43E8-40FD-E053-6B04A8C0C1DF},200000,2019-08-16 00:00,SK2 5XB,S,N,F,166,2019,8,SK2
176,{93E6821E-43E9-40FD-E053-6B04A8C0C1DF},182500,2019-07-05 00:00,SK2 5XD,S,N,F,3,2019,7,SK2
177,{93E6821E-45E9-40FD-E053-6B04A8C0C1DF},251000,2019-08-19 00:00,WA14 5LR,T,N,F,13,2019,8,WA14
178,{93E6821E-45EA-40FD-E053-6B04A8C0C1DF},342500,2019-09-02 00:00,WA15 6NP,S,N,L,20,2019,9,WA15
179,{93E6821E-45EF-40FD-E053-6B04A8C0C1DF},306000,2019-08-16 00:00,SK4 5HL,S,N,L,28,2019,8,SK4
180,{93E6821E-45F2-40FD-E053-6B04A8C0C1DF},460000,2019-09-20 00:00,M33 4AB,D,N,F,28,2019,9,M33
181,{93E6821E-45F6-40FD-E053-6B04A8C0C1DF},435000,2019-09-16 00:00,SK8 7RB,D,N,F,40,2019,9,SK8
182,{93E6821E-45FE-40FD-E053-6B04A8C0C1DF},165000,2019-08-22 00:00,SK6 1PG,T,N,F,14,2019,8,SK6
183,{93E6821E-4606-40FD-E053-6B04A8C0C1DF},260000,2019-09-06 00:00,M20 3GJ,S,N,F,4,2019,9,M20
184,{93E6821E-4809-40FD-E053-6B04A8C0C1DF},380000,2019-09-17 00:00,SK6 1DH,D,N,F,184,2019,9,SK6
185,{93E6821E-480A-40FD-E053-6B04A8C0C1DF},295000,2019-08-30 00:00,SK8 7QN,S,N,F,7,2019,8,SK8
186,{93E6821E-480B-40FD-E053-6B04A8C0C1DF},206250,2019-08-23 00:00,SK3 0JG,S,N,F,71,2019,8,SK3
187,{93E6821E-480C-40FD-E053-6B04A8C0C1DF},177500,2019-09-10 00:00,M20 1EN,S,N,F,23,2019,9,M20
188,{93E6821E-480D-40FD-E053-6B04A8C0C1DF},195000,2019-08-30 00:00,SK5 7HS,S,N,L,178,2019,8,SK5
189,{93E6821E-480F-40FD-E053-6B04A8C0C1DF},128000,2019-08-30 00:00,SK4 1ND,T,N,F,16,2019,8,SK4
190,{93E6821E-4811-40FD-E053-6B04A8C0C1DF},162000,2019-08-30 00:00,SK1 2QN,T,N,F,1,2019,8,SK1
191,{93E6821E-481E-40FD-E053-6B04A8C0C1DF},395000,2019-08-15 00:00,M33 6QU,T,N,F,23,2019,8,M33
192,{93E6821E-4821-40FD-E053-6B04A8C0C1DF},270000,2019-08-27 00:00,M33 5NR,T,N,F,58,2019,8,M33
193,{93E6821E-4A1D-40FD-E053-6B04A8C0C1DF},440000,2019-09-06 00:00,M33 6HS,S,N,F,65,2019,9,M33
194,{919FEC06-206B-9A90-E053-6C04A8C0A300},5500000,2019-06-05 00:00,M20 2PP,D,N,F,"SILVERWOOD HOUSE, 129",2019,6,M20
